city,cityLabel,population
http://www.wikidata.org/entity/Q1906,Caserta,75561
http://www.wikidata.org/entity/Q1947,Juba,525953
http://www.wikidata.org/entity/Q1960,Dar es Salaam,4715000
http://www.wikidata.org/entity/Q1963,Khartoum,5345000
http://www.wikidata.org/entity/Q2028,Verona,257275
http://www.wikidata.org/entity/Q2044,Florence,380948
http://www.wikidata.org/entity/Q2055,Whitehorse,25085
http://www.wikidata.org/entity/Q2061,Yellowknife,19569
http://www.wikidata.org/entity/Q2079,Leipzig,615081
http://www.wikidata.org/entity/Q2096,Edmonton,1010899
http://www.wikidata.org/entity/Q2123,Regina,215106
http://www.wikidata.org/entity/Q2127,Charlottetown,36094
http://www.wikidata.org/entity/Q2135,Winnipeg,705244
http://www.wikidata.org/entity/Q2138,Fredericton,58220
http://www.wikidata.org/entity/Q2141,Halifax,439819
http://www.wikidata.org/entity/Q2256,Birmingham,1137100
http://www.wikidata.org/entity/Q2467,Nassau,274400
http://www.wikidata.org/entity/Q2471,Sanaa,2957000
http://www.wikidata.org/entity/Q2634,Naples,966144
http://www.wikidata.org/entity/Q2656,Palermo,668405
http://www.wikidata.org/entity/Q2683,Parma,195687
http://www.wikidata.org/entity/Q2704,Pescara,119217
http://www.wikidata.org/entity/Q2734,Skierniewice,46437
http://www.wikidata.org/entity/Q2751,Siena,53901
http://www.wikidata.org/entity/Q2759,Urbino,14558
http://www.wikidata.org/entity/Q2773,Brunswick,248823
http://www.wikidata.org/entity/Q2790,Udine,99518
http://www.wikidata.org/entity/Q2844,Brasília,3015268
http://www.wikidata.org/entity/Q2868,Lima,9943800
http://www.wikidata.org/entity/Q2933,Asunción,524190
http://www.wikidata.org/entity/Q2999,Würzburg,126933
http://www.wikidata.org/entity/Q3001,Paramaribo,223757
http://www.wikidata.org/entity/Q3012,Ulm,126949
http://www.wikidata.org/entity/Q3037,Kathmandu,845767
http://www.wikidata.org/entity/Q3043,Belmopan,17222
http://www.wikidata.org/entity/Q3070,San José,288054
http://www.wikidata.org/entity/Q3070,San José,342188
http://www.wikidata.org/entity/Q3114,Canberra,381488
http://www.wikidata.org/entity/Q3130,Sydney,4840600
http://www.wikidata.org/entity/Q3138,Trier,110570
http://www.wikidata.org/entity/Q3141,Melbourne,4529500
http://www.wikidata.org/entity/Q3183,Perth,2141834
http://www.wikidata.org/entity/Q3214,Cottbus,98359
http://www.wikidata.org/entity/Q3306,Panama City,880691
http://www.wikidata.org/entity/Q3370,Zadar,75082
http://www.wikidata.org/entity/Q3376,Trento,117997
http://www.wikidata.org/entity/Q3415,Ancona,100924
http://www.wikidata.org/entity/Q3437,Perugia,165683
http://www.wikidata.org/entity/Q3476,L’Aquila,69439
http://www.wikidata.org/entity/Q3519,Bari,323370
http://www.wikidata.org/entity/Q3543,Potenza,67211
http://www.wikidata.org/entity/Q3549,Šibenik,46332
http://www.wikidata.org/entity/Q3551,Rabat,572717
http://www.wikidata.org/entity/Q3561,Algiers,3415811
http://www.wikidata.org/entity/Q3579,Tripoli,1293016
http://www.wikidata.org/entity/Q3602,Andacollo,11044
http://www.wikidata.org/entity/Q3604,Djibouti,603900
http://www.wikidata.org/entity/Q3639,Verbania,30709
http://www.wikidata.org/entity/Q3642,Asmara,963000
http://www.wikidata.org/entity/Q3646,Krasnodar,948827
http://www.wikidata.org/entity/Q3656,Buin,96614
http://www.wikidata.org/entity/Q3657,Rietavas,3253
http://www.wikidata.org/entity/Q3659,N'Djamena,1092066
http://www.wikidata.org/entity/Q3674,Niamey,1026848
http://www.wikidata.org/entity/Q3688,Nouakchott,1077169
http://www.wikidata.org/entity/Q3703,Bamako,419239
http://www.wikidata.org/entity/Q3703,Bamako,658275
http://www.wikidata.org/entity/Q3703,Bamako,1016167
http://www.wikidata.org/entity/Q3703,Bamako,2009109
http://www.wikidata.org/entity/Q3711,Belgrade,1378682
